Ticker,Name,Price (R),Market Cap (R bn),Sector,FX Exposure,P/E,6mo Momentum %,Sharpe Ratio,ADV (R m),Valuation Score,Momentum Score,Sharpe Score,Combined Score
CML,Coronation Fund Managers,42.67,14.92,Financial Services,Domestic,8.7618065,-1.7,-0.31,35.1,62.0,40.0,34.0,48.0
TGA,Thungela Resources,120.93,15.37,Energy,Rand Hedge,,-25.3,-0.69,98.9,,6.0,26.0,13.0
PIK,Pick n Pay Stores,19.14,14.06,Consumer Cyclical,Domestic,,0.9,0.06,30.8,,47.0,51.0,48.0
MSP,MAS,20.89,13.78,Real Estate,Rand Hedge,11.605556,10.8,0.62,24.5,45.0,76.0,76.0,64.0
SDO,Stadio,16.25,13.71,Consumer Defensive,Domestic,39.634148,42.7,1.56,33.0,2.0,98.0,95.0,59.0
JSE,JSE Ltd,153.53,12.76,Financial Services,Domestic,10.850177,-3.9,-0.66,13.6,51.0,35.0,27.0,40.0
ATT,Attacq,18.0,12.6,Real Estate,Domestic,8.910892,1.8,-0.08,10.7,61.0,51.0,44.0,54.0
HCI,Hosken Consolidated,165.1,12.44,Industrials,Domestic,5.167449,4.0,0.12,7.3,98.0,56.0,56.0,73.0
WBC,We Buy Cars,28.49,11.92,Consumer Cyclical,Domestic,12.95,-33.7,-2.98,30.1,35.0,1.0,1.0,15.0
PPC,PPC,7.95,11.66,Basic Materials,Domestic,14.196428,30.4,1.52,30.7,30.0,94.0,94.0,68.0
AEL,Altron,27.99,10.95,Technology,Domestic,13.7881775,38.9,1.56,12.0,31.0,96.0,95.0,70.0
SUI,Sun International,45.22,10.84,Consumer Cyclical,Domestic,7.110063,6.1,0.28,21.8,79.0,64.0,63.0,70.0
AFE,AECI,101.42,10.7,Basic Materials,Domestic,28.172222,-10.1,-0.86,27.4,5.0,22.0,21.0,15.0
SAC,SA Corporate Real Estate,3.5,9.6,Real Estate,Domestic,12.068966,4.5,0.16,7.8,43.0,57.0,57.0,51.0
RLO,Reunert,57.69,9.06,Industrials,Domestic,10.156691,-9.9,-0.77,30.3,55.0,23.0,24.0,36.0
SPP,SPAR Group,44.09,8.49,Consumer Defensive,Mixed,24.769663,-31.9,-1.68,94.4,6.0,2.0,9.0,5.0
OCE,Oceana Group,64.39,8.36,Consumer Defensive,Mixed,10.932089,12.4,0.69,8.1,49.0,81.0,79.0,68.0
BAT,Brait,2.12,8.19,Financial Services,Mixed,6.235294,-3.2,-0.26,34.2,88.0,38.0,35.0,57.0
SSS,Stor-Age Property REIT,15.8,8.1,Real Estate,Mixed,7.0222225,-7.6,-1.16,9.5,81.0,25.0,15.0,45.0
SAP,Sappi,12.8,7.77,Basic Materials,Rand Hedge,,-25.7,-0.79,50.5,,6.0,23.0,12.0
BTN,Burstone Group,9.9,7.78,Real Estate,Mixed,9.9,6.0,0.32,7.2,56.0,63.0,65.0,61.0
RBX,Raubex,41.54,7.49,Industrials,Domestic,6.958124,-12.1,-1.14,13.6,82.0,20.0,16.0,44.0
ARL,Astral Foods,189.0,7.31,Consumer Defensive,Domestic,4.6153846,-24.1,-2.62,13.5,99.0,8.0,3.0,43.0
WBO,WBHO,139.5,7.44,Industrials,Domestic,6.186253,-5.5,-0.61,27.8,91.0,32.0,30.0,55.0
BLU,Blu Label,7.97,7.24,Communication Services,Domestic,,-6.3,-0.53,36.0,,29.0,31.0,30.0
KAP,KAP Limited,2.84,7.12,Industrials,Domestic,,60.5,2.17,18.3,,99.0,98.0,99.0
SEA,Spear REIT,12.77,6.46,Real Estate,Domestic,6.1990294,4.3,0.13,8.7,90.0,56.0,56.0,70.0
SPG,Super Group,18.16,6.14,Industrials,Mixed,5.3887243,6.6,0.31,14.5,96.0,65.0,64.0,77.0
FBR,Famous Brands,51.73,5.14,Consumer Defensive,Domestic,8.621667,-0.1,-0.18,5.3,65.0,44.0,40.0,52.0
